"Recorded Crime Offences (Number) by Type of Offence, Garda Station and"
"Year"

" "," ","2008","2009","2010","2011","2012","2013"
" ","Kilcock, Kildare Division",0,0,0,0,0,0
" ","Kilconnell, Galway Division",0,0,0,0,0,0
" ","Kilcormac, Laois/Offaly Division",0,0,0,0,0,0
" ","Kilcullen, Kildare Division",1,0,0,0,0,0
" ","Kildare, Kildare Division",1,0,0,1,0,0
" ","Kildorrery, Cork North Division",0,0,0,0,0,0
" ","Kildysart, Clare Division",0,0,0,0,0,0
" ","Kilkee, Clare Division",0,0,0,0,0,0
" ","Kilkelly, Mayo Division",0,0,0,0,0,0
" ","Kilkenny, Kilkenny/Carlow Division",0,2,0,2,0,1
" ","Kill, Co Waterford, Waterford Division",0,0,0,0,0,0
" ","Killala, Mayo Division",0,0,0,1,0,0
" ","Killaloe, Clare Division",0,0,1,0,0,0
" ","Killarney, Kerry Division",0,0,3,1,0,1
" ","Killeagh, Cork North Division",0,0,0,0,0,0
" ","Killenaule, Tipperary Division",0,0,0,0,0,0
" ","Killeshandra, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Killimor, Galway Division",0,0,0,0,0,1
" ","Killorglin, Kerry Division",0,0,1,0,0,2
" ","Killucan, Westmeath Division",0,0,0,0,0,0
" ","Kilmacow, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Kilmacrennan, Donegal Division",0,0,0,0,0,1
" ","Kilmacthomas, Waterford Division",0,0,0,0,0,1
" ","Kilmaine, Mayo Division",0,0,0,0,0,0
" ","Kilmainham, D.M.R. South Central Division",1,2,1,1,3,2
" ","Kilmallock, Limerick Division",0,0,0,0,0,0
" ","Kilmeaden, Waterford Division",0,0,0,0,0,0
" ","Kilmoganny, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Kilmore Quay, Wexford Division",0,0,0,0,0,0
" ","Kilnaleck, Cavan/Monaghan Division",0,1,0,0,0,0
" ","Kilrickle, Galway Division",0,0,0,0,0,0
" ","Kilrush, Clare Division",0,0,0,0,2,0
" ","Kilsheelan, Tipperary Division",0,0,0,0,0,0
" ","Kiltimagh, Mayo Division",0,0,0,0,0,0
" ","Kiltormer, Galway Division",0,0,0,0,0,0
" ","Kilworth, Cork North Division",0,0,0,0,0,0
" ","Kingscourt, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Kinlough, Sligo/Leitrim Division",0,0,1,0,0,1
" ","Kinnegad, Westmeath Division",0,0,0,0,0,0
" ","Kinnitty, Laois/Offaly Division",0,0,0,0,0,0
" ","Kinsale, Cork West Division",0,0,1,0,0,3
" ","Kinvara, Galway Division",0,0,0,0,0,0
" ","Knock, Mayo Division",0,0,0,0,0,0
" ","Knocknagoshel, Kerry Division",0,0,0,0,0,0
" ","Lanesboro, Roscommon/Longford Division",0,0,0,0,0,0
" ","Laytown, Meath Division",1,0,0,1,1,1
" ","Leach Seoirse, Galway Division",0,1,0,0,0,0
" ","Leamybrien, Waterford Division",0,0,0,0,0,0
" ","Leitir Mor, Galway Division",0,0,0,0,0,0
" ","Leixlip, Kildare Division",0,0,1,0,1,0
" ","Letterfrack, Galway Division",0,0,0,0,0,0
" ","Letterkenny, Donegal Division",2,1,1,0,0,1
" ","Lifford, Donegal Division",1,0,0,0,0,0
" ","Liscarroll, Cork North Division",0,0,0,0,0,0
" ","Lisdoonvarna, Clare Division",0,0,0,0,0,0
" ","Lismore, Waterford Division",0,0,0,0,0,0
" ","Lissycasey, Clare Division",0,0,0,0,0,0
" ","Listowel, Kerry Division",0,0,0,0,0,0
" ","Littleton, Tipperary Division",0,0,0,0,0,0
" ","Lixnaw, Kerry Division",0,0,0,0,0,0
" ","Longford, Roscommon/Longford Division",0,2,0,0,1,2
" ","Longwood, Meath Division",0,0,0,0,0,0
" ","Lorrha, Tipperary Division",0,0,0,0,0,0
" ","Loughrea, Galway Division",1,0,0,0,0,0
" ","Louisburgh, Mayo Division",0,0,0,0,0,0
" ","Louth, Louth Division",0,0,0,1,0,0
" ","Lucan, D.M.R. Western Division",0,3,1,1,3,0
" ","Lusk, D.M.R. Northern Division",0,2,0,0,0,0
" ","Macroom, Cork West Division",0,0,0,0,0,0
" ","Maigh Cuilinn, Galway Division",0,0,0,0,0,0
" ","Malahide, D.M.R. Northern Division",0,0,0,1,0,0
" ","Mallow, Cork North Division",0,0,0,0,0,0
" ","Manorhamilton, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Mayfield, Cork City Division",0,0,0,0,0,2
" ","Maynooth, Kildare Division",1,1,0,0,0,0
" ","Mayorstone Park, Limerick Division",1,1,0,2,1,1
" ","Midleton, Cork North Division",0,1,0,1,0,0
" ","Milford, Co Cork, Cork North Division",0,0,0,0,0,0
" ","Milford, Co Donegal, Donegal Division",1,0,0,0,0,0
" ","Millstreet, Co. Cork, Cork West Division",0,0,0,0,0,0
" ","Milltown, Galway Division",0,0,0,0,0,0
" ","Miltown Malbay, Clare Division",0,0,0,0,0,0
" ","Mitchelstown, Cork North Division",0,0,0,0,0,0
" ","Moate, Westmeath Division",0,0,0,0,0,0
" ","Mohill, Sligo/Leitrim Division",0,0,0,0,0,2
" ","Monaghan, Cavan/Monaghan Division",1,1,0,0,0,0
" ","Monasterevin, Kildare Division",0,0,1,0,0,0
" ","Moneygall, Tipperary Division",0,0,0,0,0,0
" ","Monivea, Galway Division",1,0,0,0,1,0
" ","Mooncoin, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Mountbellew, Galway Division",0,0,0,0,0,0
" ","Mountcharles, Donegal Division",0,0,0,0,0,0
" ","Mountjoy, D.M.R. North Central Division",1,1,2,1,0,3
" ","Mountmellick, Laois/Offaly Division",0,0,0,0,0,0
" ","Mountrath, Laois/Offaly Division",0,0,0,0,0,1
" ","Moville, Donegal Division",0,0,0,0,0,0
" ","Moylough, Galway Division",0,0,0,0,0,0
" ","Moyne, Tipperary Division",0,0,0,0,0,0
" ","Muff, Donegal Division",0,0,0,0,0,0
" ","Muine Bheag, Kilkenny/Carlow Division",1,0,0,0,0,0
" ","Mullagh, Cavan/Monaghan Division",0,0,0,0,0,1
" ","Mullinahone, Tipperary Division",0,0,0,0,0,0
" ","Mullinavat, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Mullingar, Westmeath Division",0,1,3,0,0,1
" ","Multyfarnham, Westmeath Division",0,0,0,0,0,0
" ","Murroe, Limerick Division",0,0,0,0,0,0
" ","Myshall, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Na Cealla Beaga, Donegal Division",0,0,0,0,0,0
" ","Na Gleannta, Donegal Division",0,0,0,0,0,0
" ","Naas, Kildare Division",0,5,2,0,1,2
" ","Navan, Meath Division",0,0,1,0,1,1
" ","Nenagh, Tipperary Division",0,0,0,1,0,1
" ","New Ross, Wexford Division",1,0,1,1,0,0
" ","Newbridge, Kildare Division",0,0,1,0,1,0
" ","Newcastle West, Limerick Division",0,0,1,1,0,0
" ","Newmarket on Fergus, Clare Division",0,0,0,0,0,0
" ","Newmarket, Cork North Division",0,0,0,0,0,0
" ","Newport, Co Mayo, Mayo Division",0,0,0,0,0,0
" ","Newport, Co Tipperary, Tipperary Division",0,0,0,0,0,0
" ","Newtowncunningham, Donegal Division",0,0,0,0,0,0
" ","Newtownmountkennedy, Wicklow Division",0,0,0,0,0,0
" ","Nobber, Meath Division",0,0,0,0,0,0
" ","Oldcastle, Meath Division",0,0,0,0,0,0
" ","Omeath, Louth Division",0,0,0,0,0,0
" ","Oola, Limerick Division",0,0,0,0,0,0
" ","Oughterard, Galway Division",0,0,0,0,0,0
" ","Oulart, Wexford Division",0,0,0,0,0,0
" ","Oylegate, Wexford Division",0,0,0,0,0,0
" ","Pallasgreen, Limerick Division",0,0,0,0,0,0
" ","Pallaskenry, Limerick Division",0,0,0,0,0,0
" ","Partry, Mayo Division",0,0,0,0,0,0
" ","Passage East, Waterford Division",0,0,0,0,0,0
" ","Passage West, Cork City Division",0,0,0,0,0,0
" ","Patrickswell, Limerick Division",0,0,0,0,0,0
" ","Pearse Street, D.M.R. South Central Division",3,5,4,1,3,2
" ","Pettigo, Donegal Division",0,0,0,0,0,0
" ","Piltown, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Portarlington, Laois/Offaly Division",0,0,0,1,0,0
" ","Portlaoise, Laois/Offaly Division",0,0,3,1,1,0
" ","Portlaw, Waterford Division",0,0,0,0,0,0
" ","Portmagee, Kerry Division",0,0,0,0,0,0
" ","Portroe, Tipperary Division",0,0,0,0,0,0
" ","Portumna, Galway Division",0,0,0,0,0,0
" ","Raheny, D.M.R. Northern Division",0,0,0,0,0,0
" ","Ramelton, Donegal Division",0,0,0,0,0,0
" ","Raphoe, Donegal Division",0,1,0,0,0,2
" ","Rathangan, Kildare Division",0,0,0,1,0,0
" ","Rathcoole, D.M.R. Western Division",0,0,0,0,0,0
" ","Rathcormac, Co Cork, Cork North Division",0,0,0,0,0,0
" ","Rathdowney, Laois/Offaly Division",0,0,0,0,0,0
" ","Rathdrum, Wicklow Division",0,0,0,0,0,0
" ","Rathfarnham, D.M.R. Southern Division",0,4,0,1,0,0
" ","Rathgormack, Co Waterford, Waterford Division",0,0,0,0,0,0
" ","Rathkeale, Limerick Division",0,0,0,0,1,1
" ","Rathmines, D.M.R. Southern Division",0,1,0,2,2,0
" ","Rathmore, Co Kerry, Cork West Division",0,0,0,0,0,0
" ","Rathmullen, Donegal Division",0,0,0,0,0,0
" ","Rathvilly, Kilkenny/Carlow Division",1,0,0,0,0,0
" ","Rhode, Laois/Offaly Division",0,0,0,0,0,0
" ","Riverstown, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Robertstown, Kildare Division",0,1,0,0,0,0
" ","Rochfortbridge, Westmeath Division",0,0,0,0,0,0
" ","Rockcorry, Cavan/Monaghan Division",0,1,0,0,0,0
" ","Ronanstown, D.M.R. Western Division",1,1,0,1,0,1
" ","Roosky, Roscommon/Longford Division",0,0,0,0,0,0
" ","Ros Muc, Galway Division",0,0,0,0,0,0
" ","Roscommon, Roscommon/Longford Division",0,0,0,0,0,0
" ","Roscrea, Tipperary Division",0,0,0,0,0,0
" ","Rosscarbery, Cork West Division",0,0,0,0,0,0
" ","Rosses Point, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Rosslare Harbour, Wexford Division",0,0,0,0,0,0
" ","Rosslare Strand, Wexford Division",0,0,0,0,0,0
" ","Roundwood, Wicklow Division",0,0,0,0,0,0
" ","Roxboro Road, Limerick Division",3,1,1,2,3,1
" ","Santry, D.M.R. Northern Division",0,1,2,1,0,1
" ","Scariff, Clare Division",0,0,0,0,0,0
" ","Schull, Cork West Division",0,0,0,0,0,0
" ","Scotstown, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Shankill, D.M.R. Eastern Division",1,0,1,1,0,0
" ","Shannon, Clare Division",0,0,0,0,0,0
" ","Shercock, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Shevry, Tipperary Division",0,0,0,0,0,0
" ","Shillelagh, Wicklow Division",0,0,0,0,0,0
" ","Shinrone, Laois/Offaly Division",0,0,0,0,0,0
" ","Shrule, Mayo Division",0,0,0,0,0,0
" ","Sixmilebridge, Clare Division",0,0,0,0,0,0
" ","Skerries, D.M.R. Northern Division",1,0,1,0,0,0
" ","Skibbereen, Cork West Division",0,1,0,0,0,1
" ","Skreen, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Slane, Meath Division",2,0,0,0,0,0
" ","Sligo, Sligo/Leitrim Division",0,1,1,1,0,0
" ","Smear, Roscommon/Longford Division",0,0,0,0,0,0
" ","Sneem, Kerry Division",0,0,0,0,0,0
" ","Sraith Salach, Galway Division",0,0,0,0,0,0
" ","Stoneyford, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Store Street, D.M.R. North Central Division",3,3,1,1,4,4
" ","Stradbally Co Laois, Laois/Offaly Division",0,0,0,0,1,0
" ","Strokestown, Roscommon/Longford Division",0,0,0,0,0,1
" ","Stuake, Cork West Division",0,0,0,0,0,0
" ","Summerhill, Meath Division",0,0,0,0,0,0
" ","Sundrive Road, D.M.R. Southern Division",0,0,0,0,0,0
" ","Swanlinbar, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Swinford, Mayo Division",0,0,0,0,0,0
" ","Swords, D.M.R. Northern Division",0,0,3,1,3,2
" ","Taghmon, Wexford Division",0,0,0,0,0,0
" ","Tallaght, D.M.R. Southern Division",2,5,5,1,4,3
" ","Tallow, Waterford Division",0,0,0,0,0,0
" ","Tarbert, Kerry Division",0,0,0,0,0,0
" ","Tarelton, Cork West Division",0,0,0,0,0,0
" ","Taughmaconnell, Roscommon/Longford Division",0,0,0,0,0,0
" ","Templederry, Tipperary Division",0,0,0,0,0,0
" ","Templemore, Tipperary Division",0,0,0,0,0,0
" ","Templetuohy, Tipperary Division",0,0,0,0,1,0
" ","Terenure, D.M.R. Southern Division",0,0,1,0,0,0
" ","Thomastown, Kilkenny/Carlow Division",0,0,0,1,0,0
" ","Thurles, Tipperary Division",0,0,0,0,0,0
" ","Timoleague, Cork West Division",0,0,0,0,0,0
" ","Tinahely, Wicklow Division",0,0,0,0,0,0
" ","Tipperary, Tipperary Division",0,0,0,0,1,0
" ","Togher, Cork City Division",1,1,0,2,0,1
" ","Toomevara, Tipperary Division",0,0,0,0,0,0
" ","Tralee, Kerry Division",0,1,1,1,1,0
" ","Tramore, Waterford Division",1,0,0,0,0,1
" ","Trim, Meath Division",0,0,0,0,0,0
" ","Tuam, Galway Division",0,0,0,0,0,0
" ","Tubbercurry, Sligo/Leitrim Division",0,0,0,0,0,0
" ","Tulla, Clare Division",0,0,0,0,0,0
" ","Tullamore, Laois/Offaly Division",0,0,0,0,0,0
" ","Tullow, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Tulsk, Roscommon/Longford Division",0,0,0,0,0,0
" ","Urlingford, Kilkenny/Carlow Division",0,0,1,0,0,0
" ","Virginia, Cavan/Monaghan Division",0,0,0,0,0,3
" ","Watercourse Road, Cork City Division",0,1,0,1,0,1
" ","Waterford, Waterford Division",0,1,2,0,1,2
" ","Watergrasshill, Cork North Division",0,0,0,0,0,0
" ","Westport, Mayo Division",0,3,0,0,0,0
" ","Wexford, Wexford Division",0,0,2,0,0,2
" ","Whitegate, Cork North Division",0,0,0,0,0,0
" ","Wicklow, Wicklow Division",0,0,1,0,1,1
" ","Williamstown, Galway Division",0,0,0,0,0,0
" ","Woodford, Galway Division",0,0,0,0,0,0
" ","Youghal, Cork North Division",0,0,0,0,0,0
"06 ,Robbery, extortion and hijacking offences"
" ","Abbeyfeale, Limerick Division",3,2,0,0,0,1
" ","Abbeyleix, Laois/Offaly Division",0,0,0,0,2,0
" ","Adare, Limerick Division",0,1,1,0,1,0
" ","Aglish, Waterford Division",0,0,0,0,0,0
" ","Ahascragh, Galway Division",0,0,0,0,0,0
" ","Ailt an Chorraiin, Donegal Division",0,0,0,0,0,0
" ","An Bun Beag, Donegal Division",0,3,0,0,0,0
" ","An Charraig, Donegal Division",0,0,0,0,0,0
" ","An Cheathru Rua, Galway Division",0,0,0,0,0,0
" ","An Clochain Liath, Donegal Division",0,0,0,0,0,0
" ","An Coirean, Kerry Division",0,0,0,0,0,0
" ","An Craoslach, Donegal Division",0,0,0,0,0,0
" ","An Fail Carrach, Donegal Division",0,0,0,0,0,0
" ","An Maim, Galway Division",1,0,0,0,0,0
" ","An Rinn, Waterford Division",0,0,0,1,0,0
" ","An Spideal, Galway Division",0,0,0,0,0,0
" ","Anglesea Street, Cork City Division",46,31,31,33,37,50
" ","Annascaul, Kerry Division",0,0,0,0,0,0
" ","Aran More, Galway Division",1,3,3,2,0,1
" ","Ard an Raitha, Donegal Division",0,0,0,0,0,0
" ","Ardee, Louth Division",1,0,2,5,3,3
" ","Ardfert, Kerry Division",1,2,0,0,0,0
" ","Ardfinnan, Tipperary Division",0,0,0,0,1,0
" ","Ardmore, Waterford Division",0,0,1,1,0,0
" ","Ardnacrusha, Limerick Division",2,2,1,4,5,0
" ","Ardrahan, Galway Division",0,0,0,0,0,0
" ","Arklow, Wicklow Division",5,8,6,8,4,6
" ","Arles, Laois/Offaly Division",1,1,2,0,0,0
" ","Arva, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Ashbourne, Meath Division",6,10,4,9,7,8
" ","Ashford, Wicklow Division",1,0,0,2,0,0
" ","Askeaton, Limerick Division",0,1,0,2,0,0
" ","Athea, Limerick Division",0,0,0,0,0,0
" ","Athenry, Galway Division",0,1,0,1,0,1
" ","Athleague, Roscommon/Longford Division",1,0,0,0,0,0
" ","Athlone, Westmeath Division",12,13,13,11,13,12
" ","Athy, Kildare Division",14,23,24,13,5,13
" ","Aughrim, Wicklow Division",1,1,0,0,0,0
" ","Avoca, Wicklow Division",0,0,0,0,1,0
" ","Baile AÅtha Bui, Meath Division",1,4,0,1,0,1
" ","Baile an FheirtÈaraigh, Kerry Division",0,0,0,0,0,0
" ","Baile Bhuirne, Cork West Division",1,0,0,0,0,0
" ","Bailieboro, Cavan/Monaghan Division",0,0,2,1,0,0
" ","Balbriggan, D.M.R. Northern Division",13,17,21,16,19,16
" ","Balla, Mayo Division",0,0,1,0,0,0
" ","Ballaghderreen, Roscommon/Longford Division",0,0,0,0,0,0
" ","Ballina, Mayo Division",3,4,0,0,2,0
" ","Ballinagh, Cavan/Monaghan Division",1,0,0,0,0,0
" ","Ballinamore, Sligo/Leitrim Division",0,0,1,0,0,0
" ","Ballinasloe, Galway Division",1,3,5,4,1,3
" ","Ballincollig, Cork City Division",3,2,3,3,5,4
" ","Ballindine, Mayo Division",0,1,0,0,0,0
" ","Ballineen, Cork West Division",1,0,0,0,0,0
" ","Ballingarry North, Tipperary Division",0,0,0,0,0,0
" ","Ballingarry South, Tipperary Division",0,0,0,0,0,0
" ","Ballingarry, Limerick Division",0,0,0,0,1,0
" ","Ballinhassig, Cork West Division",0,0,0,0,0,0
" ","Ballinlough, Roscommon/Longford Division",0,1,0,2,0,0
" ","Ballinrobe, Mayo Division",1,0,1,0,2,1
" ","Ballintra, Donegal Division",0,0,0,1,1,0
" ","Ballivor, Meath Division",0,1,0,0,0,1
" ","Ballon, Kilkenny/Carlow Division",1,1,1,4,1,0
" ","Ballybay, Cavan/Monaghan Division",0,1,0,1,0,1
" ","Ballybofey, Donegal Division",0,0,2,2,0,0
" ","Ballybunion, Kerry Division",0,3,2,0,0,1
" ","Ballyconnell, Cavan/Monaghan Division",1,0,0,0,0,0
" ","Ballycotton, Cork North Division",0,0,0,0,0,0
" ","Ballycroy, Mayo Division",0,0,0,0,0,0
" ","Ballycullane, Wexford Division",0,0,0,0,0,0
" ","Ballydehob, Cork West Division",0,0,0,0,0,0
" ","Ballydesmond, Cork West Division",1,0,0,0,0,0
" ","Ballyduff,  Co. Kerry, Kerry Division",0,1,0,0,0,0
" ","Ballyfermot, D.M.R. Western Division",21,21,17,22,19,30
" ","Ballygar, Galway Division",0,0,0,0,0,0
" ","Ballyhale, Kilkenny/Carlow Division",0,0,0,0,0,0
" ","Ballyhaunis, Mayo Division",1,0,1,0,1,0
" ","Ballyheigue, Kerry Division",0,0,0,0,0,1
" ","Ballyjamesduff, Cavan/Monaghan Division",2,0,1,1,0,0
" ","Ballylanders, Limerick Division",1,0,0,0,0,0
" ","Ballylinan, Laois/Offaly Division",0,1,1,1,0,1
" ","Ballymacarberry, Waterford Division",0,0,0,0,0,0
" ","Ballymahon, Roscommon/Longford Division",0,0,0,1,0,1
" ","Ballymore, Westmeath Division",0,0,0,0,0,0
" ","Ballymote, Sligo/Leitrim Division",0,0,0,0,0,3
" ","Ballymun, D.M.R. Northern Division",50,60,69,47,32,40
" ","Ballynacargy, Westmeath Division",0,1,1,0,1,0
" ","Ballyneety, Limerick Division",1,1,3,1,0,1
" ","Ballynoe, Cork North Division",0,0,0,0,0,0
" ","Ballyporeen, Tipperary Division",1,1,0,0,0,0
" ","Ballyshannon, Donegal Division",0,1,1,0,0,0
" ","Ballyvaughan, Clare Division",0,0,0,0,0,0
" ","Baltimore, Cork West Division",0,0,0,0,0,0
" ","Baltinglass, Wicklow Division",0,5,1,0,3,1
" ","Banagher, Laois/Offaly Division",0,0,1,0,0,0
" ","Bandon, Cork West Division",1,0,3,2,1,1
" ","Bangor Erris, Mayo Division",0,0,0,0,0,0
" ","Bansha, Tipperary Division",0,0,0,0,0,0
" ","Bantry, Cork West Division",0,1,6,1,1,1
" ","Barnaderg, Galway Division",0,0,0,0,0,0
" ","Barraduff, Kerry Division",0,0,0,0,0,0
" ","BÈal aÅtha an Ghaorthaidh, Cork West Division",0,0,0,0,0,0
" ","BÈal an Mhuirthead, Mayo Division",0,1,0,0,0,0
" ","Belturbet, Cavan/Monaghan Division",0,0,2,0,0,0
" ","Bennettsbridge, Kilkenny/Carlow Division",1,0,0,0,0,1
" ","Birr,  Laois/Offaly Division",4,5,4,1,3,2
" ","Bishopstown, Cork City Division",2,3,7,4,11,5
" ","Blacklion, Cavan/Monaghan Division",0,0,0,0,0,0
" ","Blackrock, Co Cork, Cork City Division",3,1,2,4,2,4
" ","Blackrock, Co Dublin, D.M.R. Eastern Division",10,12,18,13,13,9
" ","Blackrock, Co Louth, Louth Division",1,3,2,1,2,0
" ","Blackwater, Wexford Division",0,0,1,2,0,1
" ","Blanchardstown, D.M.R. Western Division",92,84,148,144,133,165
" ","Blarney, Cork City Division",0,1,6,0,3,0
" ","Blessington, Wicklow Division",2,3,1,0,3,2
" ","Boherbue, Cork West Division",0,0,0,0,0,0
" ","Bonniconlon, Mayo Division",0,0,0,0,0,0
" ","Borris, Kilkenny/Carlow Division",0,0,0,1,0,0
" ","Borris-In-Ossory, Laois/Offaly Division",0,0,0,0,0,0
" ","Borrisokane, Tipperary Division",0,0,0,0,0,0
" ","Borrisoleigh, Tipperary Division",0,1,0,0,0,0
" ","Bothar Na Tra, Galway Division",1,4,5,3,1,7
" ","Boyle, Roscommon/Longford Division",0,0,0,0,1,0
" ","Bray, Wicklow Division",20,25,32,35,25,26
" ","Bridewell Cork, Cork City Division",10,9,9,6,8,13
" ","Bridewell Dublin, D.M.R. North Central Division",43,61,87,75,80,80
" ","Bruff, Limerick Division",1,1,0,0,0,1
" ","Bruree, Limerick Division",0,0,0,0,0,0
" ","Bunclody, Wexford Division",1,0,0,0,0,2
" ","Buncrana, Donegal Division",0,0,0,3,2,3
" ","Bundoran, Donegal Division",3,1,1,2,2,0
" ","Burnfoot, Donegal Division",2,0,0,1,2,1
" ","Buttevant, Cork North Division",0,0,0,0,0,0
" ","Cabinteely, D.M.R. Eastern Division",9,8,22,23,22,15
" ","Cabra, D.M.R. Western Division",29,35,34,33,31,27
" ","Caherciveen, Kerry Division",0,2,0,0,0,0
" ","Caherconlish, Limerick Division",0,1,0,1,1,1
" ","Cahir, Tipperary Division",1,0,2,0,1,0
" ","Callan, Kilkenny/Carlow Division",0,1,4,0,2,0
" ","Campile, Wexford Division",0,0,1,0,0,0
" ","Cappamore, Limerick Division",0,0,0,1,0,0
" ","Cappawhite, Tipperary Division",0,0,1,0,0,1
" ","Cappoquin, Waterford Division",0,0,0,1,1,0
" ","Carbury, Kildare Division",1,4,1,2,3,1
" ","Carlingford, Louth Division",1,0,1,0,2,1
" ","Carlow, Kilkenny/Carlow Division",36,27,22,19,20,12
" ","Carna, Galway Division",0,0,0,0,0,0
" ","Carndonagh, Donegal Division",0,1,0,0,0,1
" ","Carnew, Wicklow Division",0,1,1,0,0,0
" ","Carraig Airt, Donegal Division",0,0,0,0,0,0
" ","Carrickbyrne, Wexford Division",0,0,0,0,0,0
" ","Carrickmacross, Cavan/Monaghan Division",0,1,0,3,2,0
" ","Carrick-on-Bannow, Wexford Division",0,2,0,0,0,0
" ","Carrick-On-Shannon, Sligo/Leitrim Division",1,4,0,0,1,0
" ","Carrick-On-Suir, Tipperary Division",0,2,2,2,3,4
" ","Carrigaline, Cork City Division",3,0,2,1,1,0
" ","Carrigallen, Sligo/Leitrim Division",0,0,1,0,0,0
" ","Carrigans, Donegal Division",3,2,3,2,3,1
" ","Carrigtwohill, Cork North Division",1,0,0,0,0,1
" ","Cashel, Tipperary Division",1,3,0,3,2,0
" ","Castlebar, Mayo Division",7,4,5,1,5,3
" ","Castlebellingham, Louth Division",1,0,1,2,0,2
" ","Castleblayney, Cavan/Monaghan Division",1,1,2,2,7,2
" ","Castlebridge, Wexford Division",0,1,0,0,1,0
" ","Castlecomer, Kilkenny/Carlow Division",0,0,2,2,2,2
" ","Castleconnell, Limerick Division",1,0,3,1,1,1
" ","Castledermot, Kildare Division",3,2,5,5,1,2
" ","Castlefin, Donegal Division",1,0,1,0,1,0
" ","Castlegregory, Kerry Division",0,0,0,0,0,0
" ","Castleisland, Kerry Division",1,1,2,1,1,0
" ","Castlemaine, Kerry Division",0,0,0,0,0,0
" ","Castlepollard, Westmeath Division",0,1,0,1,0,0
" ","Castlerea, Roscommon/Longford Division",1,0,1,0,0,0
" ","Castletownbere, Cork West Division",0,0,0,0,0,0
" ","Castletownroche, Cork North Division",0,0,0,0,0,0
" ","Cavan, Cavan/Monaghan Division",3,3,6,0,4,3
" ","Celbridge, Kildare Division",10,8,15,8,10,4
" ","Charlestown, Mayo Division",0,1,0,0,0,0
" ","Charleville, Cork North Division",1,1,1,2,1,1
" ","Cill Ronain, Galway Division",0,0,0,0,0,0
" ","Clane, Kildare Division",6,11,17,10,8,8
" ","Clara, Laois/Offaly Division",1,3,1,1,0,0
" ","Claremorris, Mayo Division",0,3,2,3,1,3
" ","Clifden, Galway Division",1,0,0,1,0,0
" ","Cloch na Ron, Galway Division",0,0,1,0,0,0
" ","Cloghan, Co. Offaly, Laois/Offaly Division",0,0,0,0,0,0
" ","Clogheen, Co. Tipperary, Tipperary Division",0,1,0,0,0,0
" ","Clogher, Donegal Division",0,0,0,0,0,0
" ","Clogherhead, Louth Division",1,0,1,1,0,0
" ","Clonakilty, Cork West Division",1,0,0,0,0,1
" ","Clonark, Roscommon/Longford Division",0,0,0,1,0,0
" ","Clonaslee, Laois/Offaly Division",0,1,0,0,0,0
" ","Clonbologue, Laois/Offaly Division",0,0,0,2,0,1
" ","Clondalkin, D.M.R. Western Division",46,46,68,52,32,39
" ","Clones, Cavan/Monaghan Division",1,0,0,0,0,0
" ","Clonmany, Donegal Division",0,0,0,0,0,0
" ","Clonmel, Tipperary Division",6,8,11,11,18,8
" ","Clonroche, Wexford Division",1,0,0,0,0,0
" ","Clontarf, D.M.R. Northern Division",52,31,41,82,55,50
" ","Cloughjordan, Tipperary Division",0,0,0,0,0,0
" ","Cloyne, Cork North Division",0,1,0,1,0,0
" ","Coachford, Cork West Division",0,0,0,0,0,0
" ","Cobh, Cork North Division",2,2,1,1,0,1
" ","Collon, Louth Division",0,0,1,0,0,0
" ","Collooney, Sligo/Leitrim Division",1,1,2,0,2,0
